SALES_ID,SALES_DLRNR,SALES_DATE,SALES_CAR_ID,SALES_PRICE
1,4,2020-01-01,301,33131
2,1,2020-02-01,302,46562
3,9,2020-03-01,303,34302
4,7,2020-04-01,304,23423
5,8,2020-05-01,305,30083
6,6,2020-06-01,306,56582
7,10,2020-07-01,307,32012
8,9,2020-08-01,308,23561
9,3,2020-09-01,309,54698
10,3,2020-10-01,310,28436
11,1,2020-11-01,311,30956
12,4,2020-12-01,312,55750
13,8,2021-01-01,313,46170
14,6,2021-02-01,314,39928
15,2,2021-03-01,315,49205
16,10,2021-04-01,316,21625
17,9,2021-05-01,317,20547
18,8,2021-06-01,318,43377
19,10,2021-07-01,319,49004
20,1,2021-08-01,320,54233
21,4,2021-09-01,321,53202
22,10,2021-10-01,322,53185
23,3,2021-11-01,323,39533
24,3,2021-12-01,324,56332
25,9,2022-01-01,325,32743
26,10,2022-02-01,326,26854
27,7,2022-03-01,327,43789
28,5,2022-04-01,328,28716
29,2,2022-05-01,329,51519
30,7,2022-06-01,330,41131
31,6,2022-07-01,331,47903
32,1,2022-08-01,332,31981
33,6,2022-09-01,333,52794
34,1,2022-10-01,334,36420
35,5,2022-11-01,335,34668
36,10,2022-12-01,336,55759
37,8,2023-01-01,337,29171
38,5,2023-02-01,338,34737
39,6,2023-03-01,339,35081
40,5,2023-04-01,340,58105
41,5,2023-05-01,341,30873
42,4,2023-06-01,342,38872
43,4,2023-07-01,343,44275
44,10,2023-08-01,344,38534
45,10,2023-09-01,345,23090
46,4,2023-10-01,346,29663
47,7,2023-11-01,347,35707
48,5,2023-12-01,348,46520
49,1,2024-01-01,349,50644
50,5,2024-02-01,350,21507
51,2,2024-03-01,351,53104
52,4,2024-04-01,352,32481
53,7,2024-05-01,353,39001
54,7,2024-06-01,354,44195
55,3,2020-01-01,355,22742
56,10,2020-02-01,356,41118
57,7,2020-03-01,357,21315
58,4,2020-04-01,358,44729
59,1,2020-05-01,359,46420
60,10,2020-06-01,360,48284
61,8,2020-07-01,361,42091
62,1,2020-08-01,362,32722
63,9,2020-09-01,363,39839
64,5,2020-10-01,364,51006
65,9,2020-11-01,365,57140
66,1,2020-12-01,366,29097
67,1,2021-01-01,367,43887
68,5,2021-02-01,368,45776
69,4,2021-03-01,369,35818
70,7,2021-04-01,370,51746
71,9,2021-05-01,371,36993
72,3,2021-06-01,372,37513
73,2,2021-07-01,373,28797
74,1,2021-08-01,374,37577
75,6,2021-09-01,375,41317
76,5,2021-10-01,376,52271
77,7,2021-11-01,377,52524
78,5,2021-12-01,378,20339
79,4,2022-01-01,379,58096
80,1,2022-02-01,380,58336
81,7,2022-03-01,381,38886
82,7,2022-04-01,382,40568
83,6,2022-05-01,383,34759
84,1,2022-06-01,384,22125
85,3,2022-07-01,385,51835
86,1,2022-08-01,386,43928
87,8,2022-09-01,387,52088
88,9,2022-10-01,388,45476
89,7,2022-11-01,389,45990
90,6,2022-12-01,390,25027
91,6,2023-01-01,391,27234
92,6,2023-02-01,392,29238
93,1,2023-03-01,393,23351
94,1,2023-04-01,394,48654
95,7,2023-05-01,395,42490
96,8,2023-06-01,396,24163
97,4,2023-07-01,397,38033
98,6,2023-08-01,398,44611
99,1,2023-09-01,399,20936
100,7,2023-10-01,400,32913
101,3,2023-11-01,401,50809
102,3,2023-12-01,402,48230
103,8,2024-01-01,403,42715
104,3,2024-02-01,404,47035
105,7,2024-03-01,405,37569
106,10,2024-04-01,406,21209
107,5,2024-05-01,407,26171
108,10,2024-06-01,408,34245
109,3,2020-01-01,409,33381
110,2,2020-02-01,410,40734
111,6,2020-03-01,411,42815
112,10,2020-04-01,412,21938
113,6,2020-05-01,413,28215
114,7,2020-06-01,414,54949
115,4,2020-07-01,415,21165
116,3,2020-08-01,416,31668
117,10,2020-09-01,417,47549
118,1,2020-10-01,418,37289
119,1,2020-11-01,419,58214
120,3,2020-12-01,420,35287
121,1,2021-01-01,421,50855
122,3,2021-02-01,422,27663
123,3,2021-03-01,423,56111
124,8,2021-04-01,424,34584
125,9,2021-05-01,425,28109
126,4,2021-06-01,426,41920
127,5,2021-07-01,427,49306
128,1,2021-08-01,428,59942
129,9,2021-09-01,429,33333
130,1,2021-10-01,430,35876
131,3,2021-11-01,431,22019
132,6,2021-12-01,432,46299
133,9,2022-01-01,433,22698
134,3,2022-02-01,434,24226
135,4,2022-03-01,435,56038
136,6,2022-04-01,436,21475
137,3,2022-05-01,437,51133
138,8,2022-06-01,438,55663
139,5,2022-07-01,439,25757
140,1,2022-08-01,440,53882
141,5,2022-09-01,441,55009
142,1,2022-10-01,442,48545
143,6,2022-11-01,443,55425
144,3,2022-12-01,444,54411
145,4,2023-01-01,445,24358
146,4,2023-02-01,446,43288
147,1,2023-03-01,447,53469
148,3,2023-04-01,448,58538
149,7,2023-05-01,449,22383
150,10,2023-06-01,450,51734
151,5,2023-07-01,451,53474
152,8,2023-08-01,452,49010
153,10,2023-09-01,453,31929
154,8,2023-10-01,454,26654
155,4,2023-11-01,455,33175
156,7,2023-12-01,456,51904
157,6,2024-01-01,457,39019
158,7,2024-02-01,458,32813
159,1,2024-03-01,459,38059
160,8,2024-04-01,460,25308
161,3,2024-05-01,461,52985
162,9,2024-06-01,462,36979
163,7,2020-01-01,463,51744
164,10,2020-02-01,464,51424
165,7,2020-03-01,465,45470
166,8,2020-04-01,466,27822
167,9,2020-05-01,467,27751
168,2,2020-06-01,468,37012
169,7,2020-07-01,469,59943
170,4,2020-08-01,470,39847
171,3,2020-09-01,471,44183
172,2,2020-10-01,472,33696
173,3,2020-11-01,473,57053
174,10,2020-12-01,474,40130
175,9,2021-01-01,475,29549
176,5,2021-02-01,476,39915
177,7,2021-03-01,477,37707
178,4,2021-04-01,478,22775
179,6,2021-05-01,479,46411
180,4,2021-06-01,480,43947
181,4,2021-07-01,481,56260
182,7,2021-08-01,482,48912
183,9,2021-09-01,483,38334
184,8,2021-10-01,484,52524
185,7,2021-11-01,485,55954
186,7,2021-12-01,486,36534
187,1,2022-01-01,487,44576
188,4,2022-02-01,488,44500
189,8,2022-03-01,489,27823
190,7,2022-04-01,490,38125
191,10,2022-05-01,491,58995
192,3,2022-06-01,492,24712
193,4,2022-07-01,493,52999
194,4,2022-08-01,494,48560
195,9,2022-09-01,495,45490
196,10,2022-10-01,496,31197
197,3,2022-11-01,497,53226
198,6,2022-12-01,498,51038
199,10,2023-01-01,499,39307
200,9,2023-02-01,500,44967
201,5,2023-03-01,501,47212
202,4,2023-04-01,502,35548
203,8,2023-05-01,503,46572
204,1,2023-06-01,504,22463
205,1,2023-07-01,505,40615
206,4,2023-08-01,506,21088
207,1,2023-09-01,507,43979
208,3,2023-10-01,508,27842
209,3,2023-11-01,509,55830
210,1,2023-12-01,510,43760
211,7,2024-01-01,511,36272
212,2,2024-02-01,512,49260
213,1,2024-03-01,513,34892
214,4,2024-04-01,514,28758
215,8,2024-05-01,515,44552
216,5,2024-06-01,516,50884
217,6,2020-01-01,517,47657
218,5,2020-02-01,518,30764
219,3,2020-03-01,519,55657
220,4,2020-04-01,520,49676
221,1,2020-05-01,521,43725
222,9,2020-06-01,522,28237
223,5,2020-07-01,523,27561
224,3,2020-08-01,524,23267
225,5,2020-09-01,525,55346
226,3,2020-10-01,526,53250
227,8,2020-11-01,527,29103
228,7,2020-12-01,528,27414
229,9,2021-01-01,529,33083
230,7,2021-02-01,530,52082
231,6,2021-03-01,531,22758
232,7,2021-04-01,532,58577
233,3,2021-05-01,533,41004
234,1,2021-06-01,534,49376
235,7,2021-07-01,535,53915
236,10,2021-08-01,536,41287
237,7,2021-09-01,537,24350
238,2,2021-10-01,538,45465
239,1,2021-11-01,539,20063
240,9,2021-12-01,540,20051
241,2,2022-01-01,541,58729
242,8,2022-02-01,542,42679
243,7,2022-03-01,543,59394
244,2,2022-04-01,544,29663
245,10,2022-05-01,545,55623
246,4,2022-06-01,546,29748
247,7,2022-07-01,547,25176
248,8,2022-08-01,548,28515
249,2,2022-09-01,549,26195
250,6,2022-10-01,550,42928
251,1,2022-11-01,551,28188
252,8,2022-12-01,552,33791
253,6,2023-01-01,553,28603
254,3,2023-02-01,554,54904
255,10,2023-03-01,555,57049
256,10,2023-04-01,556,57194
257,6,2023-05-01,557,33050
258,8,2023-06-01,558,33729
259,2,2023-07-01,559,49453
260,5,2023-08-01,560,23353
261,3,2023-09-01,561,46416
262,3,2023-10-01,562,25839
263,6,2023-11-01,563,30026
264,6,2023-12-01,564,30820
265,3,2024-01-01,565,54010
266,2,2024-02-01,566,37083
267,2,2024-03-01,567,27243
268,8,2024-04-01,568,22617
269,2,2024-05-01,569,37820
270,4,2024-06-01,570,35990
271,3,2020-01-01,571,20188
272,10,2020-02-01,572,57926
273,6,2020-03-01,573,39677
274,1,2020-04-01,574,33292
275,10,2020-05-01,575,26105
276,1,2020-06-01,576,33730
277,6,2020-07-01,577,41287
278,8,2020-08-01,578,42121
279,5,2020-09-01,579,23717
280,4,2020-10-01,580,39495
281,3,2020-11-01,581,24307
282,10,2020-12-01,582,30274
283,6,2021-01-01,583,49896
284,2,2021-02-01,584,58918
285,5,2021-03-01,585,35116
286,9,2021-04-01,586,30333
287,9,2021-05-01,587,49647
288,1,2021-06-01,588,48413
289,9,2021-07-01,589,28449
290,10,2021-08-01,590,56468
291,3,2021-09-01,591,27714
292,6,2021-10-01,592,34466
293,6,2021-11-01,593,53753
294,10,2021-12-01,594,20612
295,8,2022-01-01,595,54569
296,3,2022-02-01,596,57051
297,9,2022-03-01,597,31303
298,1,2022-04-01,598,49870
299,3,2022-05-01,599,20007
300,4,2022-06-01,600,25626
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,